"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"36003951100, NY","36003951100","=""36003951100""","18.64"
"36001014803, NY","36001014803","=""36001014803""","16.30"
"36075020302, NY","36075020302","=""36075020302""","30.37"
"36091060300, NY","36091060300","=""36091060300""","21.52"
"36083052603, NY","36083052603","=""36083052603""","18.24"
"36051030202, NY","36051030202","=""36051030202""","19.74"
"36089492100, NY","36089492100","=""36089492100""","13.54"
"36115086000, NY","36115086000","=""36115086000""","16.43"
"36115084000, NY","36115084000","=""36115084000""","22.21"
"36107020702, NY","36107020702","=""36107020702""","25.34"
"36009961100, NY","36009961100","=""36009961100""","20.31"
"36101960300, NY","36101960300","=""36101960300""","23.69"
"36121970300, NY","36121970300","=""36121970300""","17.23"
"36065024500, NY","36065024500","=""36065024500""","24.11"
"36027200001, NY","36027200001","=""36027200001""","20.91"
"36113071000, NY","36113071000","=""36113071000""","14.25"
"36111950600, NY","36111950600","=""36111950600""","10.33"
"36011040300, NY","36011040300","=""36011040300""","20.68"
"36089492000, NY","36089492000","=""36089492000""","16.62"
"36111952900, NY","36111952900","=""36111952900""","17.14"
"36101961900, NY","36101961900","=""36101961900""","21.83"
"36015011200, NY","36015011200","=""36015011200""","16.99"
"36069051300, NY","36069051300","=""36069051300""","16.89"
"36017970601, NY","36017970601","=""36017970601""","18.61"
"36063024101, NY","36063024101","=""36063024101""","20.80"
"36115090000, NY","36115090000","=""36115090000""","20.71"
"36021000300, NY","36021000300","=""36021000300""","19.61"
"36033951200, NY","36033951200","=""36033951200""","18.63"
"36123150200, NY","36123150200","=""36123150200""","23.63"
"36103170202, NY","36103170202","=""36103170202""","10.75"
"36057072500, NY","36057072500","=""36057072500""","26.85"
"36073401200, NY","36073401200","=""36073401200""","24.45"
"36001014401, NY","36001014401","=""36001014401""","18.67"
"36063024302, NY","36063024302","=""36063024302""","20.97"
"36111954600, NY","36111954600","=""36111954600""","18.80"
"36013037500, NY","36013037500","=""36013037500""","19.89"
"36069051400, NY","36069051400","=""36069051400""","20.01"
"36003950500, NY","36003950500","=""36003950500""","21.01"
