"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"37099950800, NC","37099950800","=""37099950800""","16.84"
"37101040201, NC","37101040201","=""37101040201""","26.21"
"37085070600, NC","37085070600","=""37085070600""","24.01"
"37189920200, NC","37189920200","=""37189920200""","18.96"
"37183053900, NC","37183053900","=""37183053900""","26.57"
"37141990100, NC","37141990100","=""37141990100""","N/A"
"37055970502, NC","37055970502","=""37055970502""","24.07"
"37033930400, NC","37033930400","=""37033930400""","6.89"
"37111970800, NC","37111970800","=""37111970800""","15.21"
"37167930101, NC","37167930101","=""37167930101""","18.44"
"37101040202, NC","37101040202","=""37101040202""","28.34"
"37077970500, NC","37077970500","=""37077970500""","25.09"
"37113970400, NC","37113970400","=""37113970400""","15.34"
"37085071402, NC","37085071402","=""37085071402""","38.82"
"37081017000, NC","37081017000","=""37081017000""","18.11"
"37167930700, NC","37167930700","=""37167930700""","22.87"
"37145920602, NC","37145920602","=""37145920602""","18.84"
"37001021902, NC","37001021902","=""37001021902""","20.06"
"37189920900, NC","37189920900","=""37189920900""","15.89"
"37191000200, NC","37191000200","=""37191000200""","19.59"
"37061090300, NC","37061090300","=""37061090300""","26.69"
"37057061702, NC","37057061702","=""37057061702""","23.83"
"37169070700, NC","37169070700","=""37169070700""","16.75"
"37149920101, NC","37149920101","=""37149920101""","18.00"
"37125950502, NC","37125950502","=""37125950502""","26.58"
"37197050102, NC","37197050102","=""37197050102""","19.78"
"37023020100, NC","37023020100","=""37023020100""","19.28"
"37099950600, NC","37099950600","=""37099950600""","10.20"
"37141920602, NC","37141920602","=""37141920602""","18.04"
"37065021600, NC","37065021600","=""37065021600""","25.74"
"37033930300, NC","37033930300","=""37033930300""","17.55"
"37157041602, NC","37157041602","=""37157041602""","22.64"
"37127010700, NC","37127010700","=""37127010700""","24.60"
"37105030702, NC","37105030702","=""37105030702""","23.80"
"37195001200, NC","37195001200","=""37195001200""","27.89"
"37109070500, NC","37109070500","=""37109070500""","20.88"
"37181960300, NC","37181960300","=""37181960300""","19.06"
"37107011100, NC","37107011100","=""37107011100""","18.90"
"37059080400, NC","37059080400","=""37059080400""","19.98"
"37195001300, NC","37195001300","=""37195001300""","19.40"
"37107010100, NC","37107010100","=""37107010100""","16.56"
"37197050502, NC","37197050502","=""37197050502""","21.10"
"37113970100, NC","37113970100","=""37113970100""","12.70"
"37105030701, NC","37105030701","=""37105030701""","25.99"
"37125951200, NC","37125951200","=""37125951200""","25.00"
"37155960201, NC","37155960201","=""37155960201""","22.56"
"37183053207, NC","37183053207","=""37183053207""","33.21"
"37075920200, NC","37075920200","=""37075920200""","23.57"
"37197050200, NC","37197050200","=""37197050200""","21.31"
"37115010600, NC","37115010600","=""37115010600""","15.14"
"37093970401, NC","37093970401","=""37093970401""","23.76"
"37105030503, NC","37105030503","=""37105030503""","28.84"
"37105030602, NC","37105030602","=""37105030602""","22.76"
"37011930302, NC","37011930302","=""37011930302""","19.80"
"37161961200, NC","37161961200","=""37161961200""","20.89"
